// 41 (finland only) easy
[Operations]
oRuRescue		10622:50509 				VVS 2Y			LW 0F
oRuRescue		10622:50509 				VVS 2Y			LW 2F
oRuRescue		10622:50509 				VVS 2Y 2F		LW 2F
oRuRescue		10622:50509 				VVS 2Y 2F		LW 4F
oRuVerify		10622:50509 				VVS 2Y			LW 0F
oRuVerify		10622:50509 				VVS 2Y			LW 2F
oRuVerify		10622:50509 				VVS 2Y 2F		LW 2F
oRuVerify		10622:50509 				VVS 2Y 2F		LW 4F
oDeRescue		10622:50509 				VVS 0F			LW 2Y
oDeRescue		10622:50509 				VVS 2F			LW 2Y
oDeRescue		10622:50509 				VVS 2F			LW 2Y 2F
oDeRescue		10622:50509 				VVS 2F			LW 2Y
oDeVerify		10622:50509 				VVS 2F			LW 2Y
oDeVerify		10622:50509 				VVS 0F			LW 2Y
oDeVerify		10622:50509 				VVS 2F			LW 2Y 2F
oDeVerify		10622:50509 				VVS 2F			LW 2Y
oRuRecon		10622:50509 				VVS 2Y			LW 0F
oRuRecon		10622:50509 				VVS 2Y			LW 2F
oRuRecon		10622:50509 				VVS 2Y 2F		LW 2F 
oRuRecon		10622:50509 				VVS 2Y 2F		LW 0F
oDeRecon		10622:50509 				VVS 2F			LW 2Y
oDeRecon		10622:50509 				VVS 0F			LW 2Y
oDeRecon		10622:50509 				VVS 0F			LW 2Y 2F
oDeRecon		10622:50509 				VVS 2F 			LW 2Y 2F 
oDeScramble		10622:10710				VVS 3hB		LW 4Y  
oDeScramble		10622:10710				VVS 4hB		LW 6Y  
oDeScramble		10622:10710				VVS 3hB		LW 2Y  
oDeScramble		10701:10815				VVS 3hB 3F	LW 6Y  
oDeScramble		10701:10815				VVS 6hB	3F	LW 4Y  
oDeScramble		10622:50509				VVS 3B 3F	LW 4Y  
oDeScramble		10622:50509				VVS 3B 3F	LW 6Y  
oDeScramble		10622:50509				VVS 3B		LW 4Y  
oDeAttackAF		10622:50509				VVS 3F		LW 6Y 2F
oDeAttackAF		10622:50509				VVS 3F		LW 6Y 6F
oDeAttackAF		10622:50509				VVS 3F		LW 6Y
oDeAttackArmor	10622:50509			VVS 0F		LW 6Y 4F
oDeAttackArmor	10622:50509			VVS 3F		LW 6Y 4F
oDeAttackArmor	10622:50509			VVS 3F		LW 3Y 4F  
oDeAttackArmor	10622:50509			VVS 0F		LW 6Y 4F  
oDeAttackArmor	10622:50509			VVS 3F 		LW 6Y 4F  
oDeAttackArmor	10622:50509			VVS 0F 		LW 6Y 6F  
oDeAttackArmor	10622:50509			VVS 0F			LW 6Y 2F
oDeAttackCluster 10622:50509		VVS 3F	 		LW 6Y 4F
oDeAttackCluster 10622:50509		VVS 0F		 	LW 6Y
oDeAttackCluster 10622:50509		VVS 3F 			LW 3Y 4F  
oDeAttackCluster 10622:50509		VVS 0F		 	LW 6Y 4F  
oDeAttackCluster 10622:50509		VVS 2F  		LW 6Y 4F  
oDeAttackCluster 10622:50509		VVS 6F  		LW 6Y 6F  
oDeAttackCluster 10622:50509		VVS 0F 			LW 6Y 2F
oDeAttackBridge 10622:50509			VVS 3F 		LW 6Y 6F  
oDeAttackBridge 10622:50509			VVS 2F	 		LW 4Y 4F   
oDeAttackBridge 10622:50509			VVS 2F 			LW 4Y 6F  
oDeAttackBridge 10622:50509			VVS 0F 		LW 6Y 6F   
oDeAttackSoft 10622:50509			VVS 0F 		LW 6Y 2F
oDeAttackSoft 10622:50509			VVS 0F 		LW 6Y 6F
oDeAttackSoft 10622:50509			VVS 0F 		LW 6Y
oDeAttackSoft 10622:50509			VVS 2F 		LW 6Y 4F
oDeAttackSoft 10622:50509			VVS 2F 			LW 6Y 6F
oDeBombAF 10622:50509				VVS 3F 		LW 6B 6Y
oDeBombAF 10622:50509				VVS 3F 		LW 6B 6Y
oDeBombAF 10622:50509				VVS 2F 		LW 6B 6F 4Y  
oDeBombAF 10622:50509				VVS 0F 		LW 6B 6F 4Y  
oDeBombAF 10622:50509				VVS 0F 		LW 6B 6F 6Y  
oDeBombAF 10622:50509				VVS 0F 		LW 6B 6Y  
oDeBombAF 10622:50509				VVS 0F 			LW 6B 4F 4Y
oDeBombArmor 10622:50509			VVS 3F 		LW 6B 6Y
oDeBombArmor 10622:50509			VVS 3F 		LW 6B 4F 4Y
oDeBombArmor 10622:50509			VVS 2F 		LW 6B 6Y
oDeBombArmor 10622:50509			VVS 2F 3F 		LW 6B 6F 6Y  
oDeBombArmor 10622:50509			VVS 2F 2F 		LW 6B 4F 4Y 
oDeBombBridge 10622:50509			VVS 3F 3F 		LW 6B 4Y
oDeBombBridge 10622:50509			VVS 3F 3F 		LW 6B 6Y
oDeBombBridge 10622:50509			VVS 3F 		LW 6B 6F 4Y  
oDeBombBridge 10622:50509			VVS 6F  		LW 6B 6Y  
oDeBombBridge 10622:50509			VVS 6F 		LW 6B 4F 6Y   
oDeBombBridge 10622:50509			VVS 3F 		LW 6B 6F 6Y  
oDeBombBridge 10622:50509			VVS 2F 			LW 6B 4F 4Y
oDeBombSoft 10622:50509				VVS 3F 3F 		LW 6B 6F 6Y  
oDeBombSoft 10622:50509				VVS 3F 		LW 6B 6Y
oDeBombSoft 10622:50509				VVS 3F 		LW 6B 6Y
oDeBombSoft 10622:50509				VVS 6F 		LW 6B 6Y 
oDeBombSoft 10622:50509				VVS 3F			LW 6B 6Y
oDeBombSoft 10622:50509				VVS 3F 			LW 6B 6Y
oDeBombTown 10622:50509				VVS 3F 3F 		LW 6B 6Y
oDeBombTown 10622:50509				VVS 3F 			LW 6B 4Y
oDeBombTown 10622:50509				VVS 3F	 		LW 6B 6Y  
oDeBombTown 10622:50509				VVS 0F			LW 6B 6Y
oDeBombTown 10622:50509				VVS 2F	 		LW 6B 4Y  
oDeBombTown 10622:50509				VVS 6F 		LW 6B 6Y 
oDeBombTown 10622:50509				VVS 3F 		LW 6B 6Y 
oDeBombTown 10622:50509				VVS 6F 		LW 6B 4F 4Y  
