1	1	Abashiri
1	1	Akan
1	1	Akihabara
1	1	Akita
1	1	Amakusa
1	1	Aomori
1	1	Arita
1	1	Asahikawa
1	1	Asakusa
1	1	Asuke
1	1	Atami
1	1	Bizen
1	1	Chiba
1	1	Daiba
1	1	Fukuoka
1	1	Furano
1	1	Gifu
1	1	Gyoda
1	1	Hagi
1	1	Hakata
1	1	Hakodate
1	1	Hanamaki
1	1	Harajuku
1	1	Hikone
1	1	Himi
1	1	Hirado
1	1	Hiraizumi
1	1	Hirosaki
1	3	Hiroshima
1	1	Hitoyoshi
1	3	Hofu
1	1	Hyuga
1	1	Ibusuki
1	1	Ikebukuro
1	1	Imari
1	1	Ina
1	1	Inuyama
1	3	Ito
1	1	Iwakuni
1	1	Iwatsuki
1	3	Kagoshima
1	1	Kakunodate
1	1	Kamakura
1	1	Kamigamo
1	1	Kanazawa
1	1	Karuizawa
1	1	Kasugayama
1	1	Katsuura
1	1	Kawagoe
1	1	Kinosaki
1	1	Kishiwada
1	1	Kiso
1	1	Kitakata
1	1	Kiyosato
1	3	Kobe
1	1	Kochi
1	1	Kumamoto
1	1	Kumano
1	1	Kurama
1	1	Kurashiki
1	1	Kurume
1	1	Kushimoto
1	1	Kushiro
1	5	Kyoto
1	1	Makuhari
1	1	Matsumae
1	1	Matsumoto
1	1	Matsuyama
1	1	Mihonoseki
1	1	Misasa
1	1	Mito
1	1	Miyajima
1	1	Miyazaki
1	1	Morioka
1	3	Nagahama
1	2	Nagano
1	3	Nagasaki
1	5	Nagoya
1	1	Naha
1	1	Narita
1	1	Naruto
1	3	Niigata
1	1	Nishi Izu
1	1	Oarai
1	1	Odawara
1	1	Ohara
1	2	Okayama
1	1	Okuoi
1	1	Omachi
1	1	Onomichi
1	5	Osaka
1	1	Otsu
1	1	Sakai
1	3	Sapporo
1	1	Sendai
1	1	Shibuya
1	1	Shigaraki
1	1	Shimabara
1	1	Shimonoseki
1	1	Shinjuku
1	1	Shuzen-ji
1	1	Takamatsu
1	1	Takaoka
1	1	Takarazuka
1	1	Takato
1	1	Takayama
1	1	Toba
1	1	Tokushima
1	1	Tokyo
1	1	Tono
1	1	Toyama
1	1	Tsuwano
1	1	Tsuyama
1	1	Uchiko
1	1	Ueno
1	1	Unazuki
1	1	Unzen
1	1	Urayasu
1	1	Usuki
1	1	Uwajima
1	1	Wakayama
1	1	Wakkanai
1	3	Yamagata
1	1	Yamaguchi
1	1	Yanagawa
1	5	Yokohama
1	1	Yonezawa
1	1	Yugawara
1	1	Yuya
1	1	Zaimokuza
