Allies   USSR       Fighter         YAK_9K               350 3000 3000 default                                  1
Allies   USSR       Fighter         YAK_3P               400 3000 3000 default                                  1
Allies   USSR       Fighter         LA_7KOJEDUB          390 5000 5000 default                                  0
Allies   USSR       Reconplane      YAK_3                480 3000 3000 default                                  1
Allies   USSR       FRecon          YAK_3                480 3000 3000 default                                  1
Allies   USSR       Fighter         YAK_3                370 4500 4500 default                                  1
Allies   USSR       Fighter         YAK_9T               350 3000 3000 default                                  1
Allies   USSR       Interceptor     YAK_9T               340 3500 3500 default                                  1
Allies   USSR       FAttack         YAK_9T               350 3000 3000 default                                  1
Allies   USSR       aSoft           YAK_9T               350 600 300 default                                    1
Allies   USSR       aTank           YAK_9T               350 600 300 default                                    1
Allies   USSR       Fighter         YAK_9U               370 4000 4000 default                                  1
Allies   USSR       FBomber         YAK_9B               320 900 900 2fab100                                    1
Allies   USSR       FBomber         YAK_9B               320 900 900 3fab100                                    1
Allies   USSR       FBomber         YAK_9B               310 900 900 4fab100                                    1
Allies   USSR       FBomber         YAK_9B               330 900 900 2ptab                                      1
Allies   USSR       FBomber         YAK_9B               330 900 900 4ptab                                      1
Allies   USSR       aSoft           YAK_9B               310 900 900 4fab100                                    1
Allies   USSR       aTank           YAK_9B               330 900 900 4ptab                                      1
Allies   USSR       aShip           YAK_9B               310 900 900 4fab100                                    1
Allies   USSR       aHeavy          YAK_9B               310 900 900 4fab100                                    1
Allies   USSR       Fighter         YAK_9M               330 4000 4000 default                                  1
Allies   USSR       Fighter         YAK_9UT              380 3000 3000 default                                  1
Allies   USSR       Interceptor     YAK_9UT              360 3500 3500 default                                  1
Allies   USSR       FAttack         YAK_9UT              380 600 300 default                                    1
Allies   USSR       aSoft           YAK_9UT              380 600 300 default                                    1
Allies   USSR       aTank           YAK_9UT              380 600 300 default                                    1
Allies   France     Fighter         YAK_3                380 3000 3000 default                                  1
Allies   USSR       Reconplane      LA_5FN               540 700 700 default                                    1
Allies   USSR       FRecon          LA_5FN               520 700 700 default                                    1
Allies   USSR       Fighter         LA_5FN               380 4000 4000 default                                  1
Allies   USSR       FBomber         LA_5FN               370 900 900 2xFAB100                                   1
Allies   USSR       aSoft           LA_5FN               370 900 900 2xFAB100                                   1
Allies   USSR       Fighter         LA_7                 390 4500 4500 default                                  1
Allies   USSR       Reconplane      LA_7                 560 700 700 default                                    1
Allies   USSR       FRecon          LA_7                 540 700 700 default                                    1
Allies   USSR       Fighter         LA_7B20              390 4500 4500 default                                  1
Allies   USSR       Reconplane      LA_7B20              560 700 700 default                                    1
Allies   USSR       FRecon          LA_7B20              540 700 700 default                                    1
Allies   USSR       Fighter         P_39Q10              340 4000 4000 default                                  1
Allies   USSR       FBomber         P_39Q10              330 1000 1000 1xFAB250                                   1
Allies   USSR       aSoft           P_39Q10              330 1000 1000 1xFAB250                                   1
Allies   USSR       Attack          IL_2Type3            320 1000 1000 4xFAB50_4xRS132                            2
Allies   USSR       Attack          IL_2Type3            320 1000 1000 50xAO10                                    2
Allies   USSR       Attack          IL_2Type3            320 1000 1000 216xAJ-2                                   2
Allies   USSR       Attack          IL_2Type3            320 1000 1000 192xPTAB2_5                                2
