1    1    Fetesti
1    1    Timisoara
1    1    Faurei
1    1    Tirgoviste
1    1    Slobozia
1    1    Constanta
1    1    Tirgu Mures
1    1    Zalau
1    1    Arad
1    1    Rimnicu Sarat
1    10   Buzau
1    10   Gaesti
1    10   Cernavoda
1    10   Urziceni
1    10   Medgidia
1    10   Rimnicu Valcea
1    10   Cilibia
1    100  Bucuresti
1    100  Buftea
2    1    Ganeasa
2    1    Moara Vlasiei
2    1    Dragomiresti
2    1    Pantelimon
2    1    Otopeni
2    1    Tamadau Mare
2    1    Branesti
2    10   Vadu Apei
2    10   Stefanestii de Jos
2    10   Rosiori
2    10   Baraolt
2    10   Baile Tusnad
2    10   Aita Mare
2    100  Sfintu Gheorghe
3    1    Brasov
3    1    Codlea
3    1    Odorheiu Secuiesc
3    1    Vasileni
3    1    Calugareni
3    1    Comanesti
3    1    Sibiu
3    1    Valeni Podgoria
3    1    Pui
3    10   Roman
3    10   Talpas
3    10   Turnu-Severin
3    10   Tulcea
3    10   Birlad
3    10   Hirlau
3    10   Ploiesti
3    10   Fratautii Noi
3    100  Colonesti
4    1    Pogoanele
4    1    Bazargic
4    1    Lespezi
4    1    Hunedoara
4    1    Toplita
4    1    Gheorgheni
4    1    Vlahita
4    10   Miercurea-Ciuc
4    10   Vacaresti
4    10   Harghita-Bai
4    10   Bradesti
4    10   Desag
4    10   Cimpulung Moldovenesc
4    10   Mestecanis
4    10   Vatra Dornei
4    10   Comanesti
4    100  Borsa
5    1    Feldru
5    1    Magurele
5    1    Cetate
5    1    Bistrita
5    1    Cavnic
5    1    Baia Sprie
5    1    Tirgu Lapus
5    1    Nasaud
5    10   Perisor
5    10   Beclean
5    10   Dumbrava
5    10   Branistea
5    10   Gherla
5    10   Dej
5    10   Cluj-Napoca
5    10   Cimpeni
5    100  Otelu Rosu
6    1    Caransebes
6    1    Drobeta Turnu Severin
6    1    Vinju Mare
6    1    Bailesti
6    1    Segarcea
6    1    Caracal
6    1    Ghizdavesti
6    1    Draganesti-Olt
6    50   Zimnicea
6    10   Alexandria
6    10   Mihai Bravu
6    10   Giurgiu
6    10   Oltenita
6    10   Ciocanesti
6    10   Tandarei
6    50   Hirsova
7    1    Jegalia
7    1    Borcea
7    1    Isaccea
7    1    Niculitel
7    1    Mihail Kogalniceanu
7    1    Babadag
7    1    Birlad
7    1    Beresti-Meria
7    10   Nemteni
7    10   Vaslui
7    10   Calarasi
7    10   Iasi
7    10   Falesti
7    10   Tirgu Frumos
7    10   Hirlad
7    10   Baltati
7    10   Lungani
7    100  Chilisoaia
8    1    Dorohoi
8    1    Siret
8    1    Botosani
8    1    Costinesti
8    1    Darabani
8    1    Suceava
8    1    Falticeni
8    1    Pascani
8    1    Tirgu-Neamt
8    10   Grumazesti
8    10   Pascani
8    10   Grozavesti
8    10   Cristesti
8    10   Almas
8    10   Piatra-Neamt
8    10   Buhusi
8    10   Balcani
8    10   Moinesti
8    10   Straja
8    100  Ghimes-Faget
9    1    Tirgu Ocna
9    1    Slanic-Moldova
9    1    Covasna
9    1    Floroaia
9    1    Tirgu Secuiesc
9    1    Codlea
9    1    Busteni
9    1    Comarnic
9    1    Cimpina
9    10   Fieni
9    10   Moreni
9    10   Videle
9    10   Valeni
9    10   Traian
9    100  Zanoaga
