Taman 0 0 0 0 0 0
Kerch 0 0 0 0 0 0
Vishestebliyevskaya 0 0 0 0 0 0
Anapa 0 0 0 0 0 0
Rayevskaya 0 0 0 0 0 0
Novorossiysk 0 0 0 0 0 0
Krymsk 0 0 0 0 0 0
Slavyansk_Na_Kubani 0 0 0 0 0 0
Troitskaya 0 0 0 0 0 0
Krasnoarmeyskaya 0 0 0 0 0 0
Mingrelskaya 0 0 0 0 0 0
Fedorovskaya 0 0 0 0 0 0
Kholmskaya 0 0 0 0 0 0
Andreevskaya 0 0 0 0 0 0
Korenovsk 0 0 0 0 0 0
Plastunovskaya 0 0 0 0 0 0
Novotitarovskaya 0 0 0 0 0 0
Krasnodar 0 0 0 0 0 0
Goryachiy_Klyuch 0 0 0 0 0 0
Gelendzhik 0 0 0 0 0 0
Tuapse 0 0 0 0 0 0
