<RedRecon>	<Diese Gruppe wird nach %s fliegen, um deutsche Bodenstellungen im Gebiet zu erkunden.\n>
<RedRecon>	<Diese Gruppe wird bei %s einen Hochgeschwindigkeits-Aufklärungsflug in Bodennähe durchführen.\n>
<RedRecon>	<Ein kleiner Bomberverband hat heute Ziele im Gebiet von %s bei fast geschlossener Wolkendecke angegriffen. Da das Wetter besser geworden ist, wird diese Gruppe das Gebiet erkunden und die verursachten Schäden feststellen.\n>

<RedReconEsc>	<Diese Gruppe wird nach %s fliegen, um deutsche Bodenstellungen im Gebiet zu erkunden.\n>
<RedReconEsc>	<Diese Gruppe wird bei %s einen Hochgeschwindigkeits-Aufklärungsflug in Bodennähe durchführen.\n>
<RedReconEsc>	<Ein kleiner Bomberverband hat heute Ziele im Gebiet von %s bei fast geschlossener Wolkendecke angegriffen. Da das Wetter besser geworden ist, wird diese Gruppe das Gebiet erkunden und die verursachten Schäden feststellen.\n>

<BlueRecon>	<Diese Gruppe wird nach %s fliegen, um sowjetische Bodenstellungen im Gebiet zu erkunden.\n>
<BlueRecon>	<Diese Gruppe führt einen Aufklärungsflug bei %s durch. Andere Verbände, die das Gebiet passiert haben, meldeten hektische Bodenbewegungen. Wir vermuten, dass sich da etwas Großes zusammenbraut.\>
<BlueRecon>	<Ein kleiner Jagdbomberverband hat heute Ziele im Gebiet von %s bei sehr dichtem Bodennebel angegriffen. Die Piloten meldeten eine sehr große Ansammlung von Panzern und LKW auf dieser Straße. Fliegen Sie in das Gebiet und erkunden Sie, welche Ergebnisse das Bombardement der Straße gebracht hat und ob es Anzeichen sowjetischer Truppenbewegungen gibt.\n>

<BlueReconEsc>	<Diese Gruppe wird nach %s fliegen, um sowjetische Bodenstellungen im Gebiet zu erkunden.\n>
<BlueReconEsc>	<Diese Gruppe führt einen Aufklärungsflug bei %s durch. Andere Verbände, die das Gebiet passiert haben, meldeten hektische Bodenbewegungen. Wir vermuten, dass sich da etwas Großes zusammenbraut.\>
<BlueReconEsc>	<Ein kleiner Jagdbomberverband hat heute Ziele im Gebiet von %s bei sehr dichtem Bodennebel angegriffen. Die Piloten meldeten eine sehr große Ansammlung von Panzern und LKW auf dieser Straße. Fliegen Sie in das Gebiet und erkunden Sie, welche Ergebnisse das Bombardement der Straße gebracht hat und ob es Anzeichen sowjetischer Truppenbewegungen gibt.\n>

<RedColumn>	<Ziel des Angriffs sind deutsche Transportkolonnen bei %s. Ich muss Ihnen nicht sagen, wie wichtig diese Art von Missionen für die Gesamtsituation an der Front ist. Wir hoffen die Operationen der Deutschen in diesem gesamten Raum wirkungsvoll zum Erliegen zu bringen, wenn wir verhindern können, dass der Nachschub ihre Truppen erreicht.\n>
<RedColumn>	<Fliegen Sie nach %s. Dort werden die Bomber deutsche Transportkolonnen angreifen. Über die Straßen in diesem Gebiet wird ein sehr wichtiger Frontabschnitt versorgt. Indem wir die deutschen Nachschublinien angreifen, können wir unsere Erfolgsaussichten im gesamten Sektor erheblich verbessern.\n>
<RedColumn>	<Der Angriffsverband wird nach %s fliegen. Unsere monatelangen Bemühungen zahlen sich endlich aus, die Nachschublage bereitet den Deutschen beträchtliche Kopfschmerzen. Halten Sie den Druck aufrecht, suchen und vernichten Sie alle Nachschubkonvois, die Sie finden. Höchst wahrscheinlich sind sie gut verteidigt und bestehen aus wenigen Fahrzeugen. Wenn Sie keine Konvois finden, stellt Bahnverkehr Ihre zweite Priorität dar.\n>

<RedColumnEsc>	<Ziel des Angriffs sind deutsche Transportkolonnen bei %s. Ich muss Ihnen nicht sagen, wie wichtig diese Art von Missionen für die Gesamtsituation an der Front ist. Wir hoffen die Operationen der Deutschen in diesem gesamten Raum wirkungsvoll zum Erliegen zu bringen, wenn wir verhindern können, dass der Nachschub ihre Truppen erreicht.\n>
<RedColumnEsc>	<Fliegen Sie nach %s. Dort werden die Bomber deutsche Transportkolonnen angreifen. Über die Straßen in diesem Gebiet wird ein sehr wichtiger Frontabschnitt versorgt. Indem wir die deutschen Nachschublinien angreifen, können wir unsere Erfolgsaussichten im gesamten Sektor erheblich verbessern.\n>
<RedColumnEsc>	<Der Angriffsverband wird feindliche Nachschubrouten im Sektor %s attackieren. Sollte es nur zu leichtem Widerstand in der Luft kommen, ist der Jagdschutz befugt, den Verband zu verlassen und weitere sich bietende Bodenziele anzugreifen.\n>
<RedColumnEsc>	<Der Angriffsverband wird nach %s fliegen und feindliche Fahrzeuge, insbesondere Versorgungslastwagen, suchen und vernichten. Wir erwarten keinerlei Widerstand in der Luft, also setzen Sie Ihre Munition großzügig ein, ohne sich Sorgen über mögliche Luftgefechte zu machen.\n>
<RedColumnEsc>	<Der Angriffsverband wird deutsche Nachschubrouten in der Nähe von %s attackieren. Sowohl Bomber als auch Jagdschutz werden alle dort gesichteten Feindfahrzeuge suchen und vernichten.\n>
<RedColumnEsc>	<Der Angriffsverband wird nach %s fliegen. Unsere monatelangen Bemühungen zahlen sich endlich aus, die Nachschublage bereitet den Deutschen beträchtliche Kopfschmerzen. Halten Sie den Druck aufrecht, suchen und vernichten Sie alle Nachschubkonvois, die Sie finden. Höchst wahrscheinlich sind sie gut verteidigt und bestehen aus wenigen Fahrzeugen. Wenn Sie keine Konvois finden, stellt Bahnverkehr Ihre zweite Priorität dar.\n>

<BlueColumn>	<Ziel des Angriffsverbands werden sowjetische Fahrzeugkolonnen bei %s sein. Diesmal wird es nicht einfach werden, im ganzen Gebiet wimmelt es von schießwütigen Sowjets. Stellen Sie sich auf jede Menge Flakfeuer während der ganzen Mission ein. Der Jagdschutz muss die Bomber um jeden Preis sichern! Erwarten Sie während der gesamten Mission konstante Gegenwehr, da dieser Sektor mit feindlichen Jägern geradezu übersättigt ist.\n>
<BlueColumn>	<Das Ziel des Angriffsverbands ist %s. Die Nachrichtenlage ist unklar und auch die genaue Situation im Zielgebiet ist unbekannt, aber Sie können sich darauf verlassen, dass Sie jeder Menge Sowjets begegnen werden. Die Bodengefechte in der Gegend waren zuletzt sehr unkoordiniert, rechnen Sie also quer über das ganze Land verstreut mit lohnenswerten Zielen.\n> 
<BlueColumn>	<Der Angriffsverband wird nach %s fliegen und dort feindliche Fahrzeuge, insbesondere Versorgungslastwagen, suchen und vernichten. Schwerer Widerstand in der Luft wird erwartet, minimieren Sie also durch hohes Tempo und niedrige Flughöhe das Risiko gesehen zu werden. Viel Glück!\n>
<BlueColumn>	<Das Ziel: %s. Der russische Nachschub scheint mit den vorrückenden Truppen nicht Schritt halten zu können. Dies ist die Gelegenheit für uns, den Russen noch größeres Kopfzerbrechen zu bereiten. Halten Sie den Druck auf ihre Versorgungslinien aufrecht, suchen und vernichten Sie alle Nachschubkonvois, die Sie finden. Höchst wahrscheinlich sind sie gut verteidigt und bestehen aus wenigen Fahrzeugen. Wenn Sie keine Konvois finden, stellt Bahnverkehr Ihre zweite Priorität dar.\n>

